2021-10-15 12:01:13,454 p=3162 u=eduardgevorkyan n=ansible | PLAY [all] *********************************************************************
2021-10-15 12:01:13,504 p=3162 u=eduardgevorkyan n=ansible | TASK [Gathering Facts] *********************************************************
2021-10-15 12:01:18,926 p=3162 u=eduardgevorkyan n=ansible | ok: [k3s2]
2021-10-15 12:01:18,975 p=3162 u=eduardgevorkyan n=ansible | ok: [k3s1]
2021-10-15 12:01:18,997 p=3162 u=eduardgevorkyan n=ansible | ok: [k3s3]
2021-10-15 12:01:19,024 p=3162 u=eduardgevorkyan n=ansible | TASK [install packages] ********************************************************
2021-10-15 12:05:25,861 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=ansible)
2021-10-15 12:05:52,052 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=ansible)
2021-10-15 12:05:53,904 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=ansible)
2021-10-15 12:06:22,251 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=git)
2021-10-15 12:06:55,098 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=git)
2021-10-15 12:06:57,151 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=git)
2021-10-15 12:07:12,719 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=vim)
2021-10-15 12:07:23,555 p=3162 u=eduardgevorkyan n=ansible | ok: [k3s3] => (item=net-tools)
2021-10-15 12:07:36,468 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=telnet)
2021-10-15 12:07:38,742 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=vim)
2021-10-15 12:07:45,012 p=3162 u=eduardgevorkyan n=ansible | ok: [k3s2] => (item=net-tools)
2021-10-15 12:07:53,869 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=telnet)
2021-10-15 12:08:08,073 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=vim)
2021-10-15 12:08:13,846 p=3162 u=eduardgevorkyan n=ansible | ok: [k3s1] => (item=net-tools)
2021-10-15 12:08:22,073 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=telnet)
2021-10-15 12:08:22,115 p=3162 u=eduardgevorkyan n=ansible | TASK [copy hosts file] *********************************************************
2021-10-15 12:08:26,439 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1]
2021-10-15 12:08:26,473 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2]
2021-10-15 12:08:26,481 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3]
2021-10-15 12:08:26,503 p=3162 u=eduardgevorkyan n=ansible | TASK [open firewalld] **********************************************************
2021-10-15 12:08:29,642 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=179/tcp)
2021-10-15 12:08:29,718 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=179/tcp)
2021-10-15 12:08:29,766 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=179/tcp)
2021-10-15 12:08:32,415 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=6443/tcp)
2021-10-15 12:08:32,625 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=6443/tcp)
2021-10-15 12:08:32,740 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=6443/tcp)
2021-10-15 12:08:35,800 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=8443/tcp)
2021-10-15 12:08:35,944 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=8443/tcp)
2021-10-15 12:08:36,126 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=8443/tcp)
2021-10-15 12:08:38,378 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=8091/tcp)
2021-10-15 12:08:38,507 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=8091/tcp)
2021-10-15 12:08:38,753 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=8091/tcp)
2021-10-15 12:08:41,052 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=8090/tcp)
2021-10-15 12:08:41,104 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=8090/tcp)
2021-10-15 12:08:41,304 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=8090/tcp)
2021-10-15 12:08:44,095 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=53/tcp)
2021-10-15 12:08:44,155 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=53/tcp)
2021-10-15 12:08:44,190 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=53/tcp)
2021-10-15 12:08:47,182 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=2376/tcp)
2021-10-15 12:08:47,215 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=2376/tcp)
2021-10-15 12:08:47,222 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=2376/tcp)
2021-10-15 12:08:49,956 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=2379-2380/tcp)
2021-10-15 12:08:49,959 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=2379-2380/tcp)
2021-10-15 12:08:49,964 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=2379-2380/tcp)
2021-10-15 12:08:52,757 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=6641-6642/tcp)
2021-10-15 12:08:52,840 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=6641-6642/tcp)
2021-10-15 12:08:52,862 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=6641-6642/tcp)
2021-10-15 12:08:55,738 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=9000-9999/tcp)
2021-10-15 12:08:55,794 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=9000-9999/tcp)
2021-10-15 12:08:55,871 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=9000-9999/tcp)
2021-10-15 12:08:58,417 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s3] => (item=10250/tcp)
2021-10-15 12:08:58,478 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s2] => (item=10250/tcp)
2021-10-15 12:08:58,526 p=3162 u=eduardgevorkyan n=ansible | changed: [k3s1] => (item=10250/tcp)
